Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Employer Playbook: Talent Attraction & Retention Resources,Halifax Partnership,"Halifax Partnership offers employer-focused guides and advisory support that encourage posting salary bands, communicating benefits/perks, and using clear, candidate-friendly language to position Halifax roles competitively. Their resources draw on local labour market insights and promote aligning offers with Nova Scotia living-wage research, helping small employers build transparent, credible compensation narratives that strengthen the region’s talent brand.",Perception and branding of opportunity in Nova Scotia,"Wage transparency and living-wage pledge toolkit: Develop a volunteer-supported toolkit for small employers to publish salary bands, commit to local living-wage standards where possible, and explain benefits/perks to improve recruitment and perceptions about pay.",Systemic Exclusion and Weak Sense of Belonging,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Shannex Continuing Care Assistant (CCA) Training Program,Shannex Incorporated,"Shannex funds tuition and provides paid, employer-backed training and work-integrated learning for aspiring Continuing Care Assistants, with successful graduates offered employment at Shannex communities across Nova Scotia. Starting CCA wages are publicly posted in Shannex job listings and provincial wage tables, giving candidates a transparent view of earnings while moving through a short, skills-bridging pathway directly into a guaranteed role.",Perception and branding of opportunity in Nova Scotia,"Skills-bridging bootcamps funded by local employers: Coordinate short, employer-backed training programs to upskill local candidates for emerging roles with clear job-placement commitments and published starting wages so prospects see attainable, paid pathways.",Systemic Exclusion and Weak Sense of Belonging,"1226 Hollis Street, Suite 400, Halifax, NS B3J 1T6",,careers@shannex.com,44.6407272,-63.5696786
IGNITE Youth & Startup Programming,IGNITE Atlantic,"IGNITE Atlantic runs entrepreneurship programming that engages youth and early-stage founders across rural Nova Scotia, connecting them with mentors, business advisors, and prototyping resources. Through bootcamps, workshops, and incubator-style support, participants build companies, access local services, and are connected to small grants and funding competitions—developing practical skills in marketing, finance, and operations while creating community-rooted ventures.",Skills mismatch and weak work-integrated learning,"Youth Entrepreneurship Incubators: Run community incubator programs that pair aspiring young entrepreneurs with local mentors, business services and small grants so they build real ventures that create local jobs and teach transferable skills in marketing, finance and operations.",Systemic Exclusion and Weak Sense of Belonging,"352 East River Road, New Glasgow, NS B2H 3R2",https://igniteatlantic.com,info@igniteatlantic.com,45.5833401,-62.6448939
Pursuing the Edge (podcast),IGNITE Atlantic,"Pursuing the Edge is IGNITE Atlantic’s podcast that showcases founders, employers, and professionals building careers in oceans, agri-food, clean tech, digital, and creative industries across rural and small-urban Nova Scotia. Each episode spotlights tangible career pathways, breakout employers, and sector growth stories, reframing provincial narratives toward opportunity and impact. Produced locally and distributed broadly, the podcast partners with businesses and ecosystem organizations to ...",Perception and branding of opportunity in Nova Scotia,"Local media partnerships for positive narratives: Partner with regional radio, newspapers and podcasters to produce series about thriving local careers, sector growth stories and breakout employers to shift external narratives toward strengths and opportunities.",Systemic Exclusion and Weak Sense of Belonging,"208 Main Street, Yarmouth, NS B5A 1C7",https://igniteatlantic.com,info@igniteatlantic.com,43.8319155,-66.1203833
CO3,CO3,"CO3 is a community-focused coworking hub offering high-speed internet, flexible desks, private offices, and bookable meeting rooms to support remote workers, students, and entrepreneurs on the South Shore. Staff coordinate events, peer networking, and business support programming, enabling people to work and learn locally and reducing the need to commute long distances for reliable connectivity and professional space.",Transportation and digital connectivity shortfalls,"Local telework / coworking hubs ('digital village' spaces): Create supervised coworking spaces in existing community buildings with reliable high-speed internet, meeting rooms and mentorship programs to support remote work, entrepreneurship and study.",Systemic Exclusion and Weak Sense of Belonging,"724 King Street, Bridgewater, NS B4V 1B4",https://www.co3space.com,info@co3space.com,44.3798784,-64.5213206
Surplus Property Disposal for Affordable Housing,Halifax Regional Municipality,"Halifax Regional Municipality identifies vacant or underutilized municipal buildings and lands and makes them available to non‑profit and co‑operative providers for affordable housing. Through streamlined disposition, nominal leases/sales, and complementary grants and fee relief, the program lowers project costs so partners can convert existing structures into affordable rental units using local contractors and community partners. By reusing public assets, the initiative accelerates delivery ...",Housing affordability and supply constraints,"Vacant Property Reuse Initiative: Map and repurpose vacant or underused buildings (commercial or institutional) by assembling volunteer teams, local trades and small grants to convert them into affordable units.",Systemic Exclusion and Weak Sense of Belonging,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,contactus@halifax.ca,44.648927,-63.5753248
Pallet-Shelter Micro-Villages (Supportive Housing Sites),Halifax Regional Municipality,"Halifax Regional Municipality has established multiple pallet-shelter micro-villages on municipally owned land in Halifax and Dartmouth, each providing private insulated cabins alongside shared washroom/shower facilities, power, and heat. The sites are operated with local service partners and include on-site, 24/7 management and supports, creating fast-to-build, low-cost housing that relieves pressure on the rental market while longer-term housing is developed.",Housing affordability and supply constraints,"Tiny Home and Micro-Village Projects: Develop community-supported tiny-home clusters on municipally or donor-owned land as affordable, fast-to-build options with shared amenities and strong local management.",Systemic Exclusion and Weak Sense of Belonging,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,contactus@halifax.ca,44.648927,-63.5753248
Halifax Modular Supportive Housing Program,Halifax Regional Municipality,"Halifax Regional Municipality purchased and installed prefabricated modular units on municipal land to create rapid, short-term supportive housing for people experiencing homelessness. These pop-up transitional communities provide private rooms with shared facilities and on-site supports while permanent, longer-term housing supply is planned and built. The initiative increases immediate capacity quickly, easing pressure on the rental market and construction pipelines.",Housing affordability and supply constraints,"Temporary Pop-up and Transitional Units: Use community spaces, modular units or converted shipping containers to create short-term transitional housing while permanent supply is planned and delivered.",Systemic Exclusion and Weak Sense of Belonging,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,contactus@halifax.ca,44.648927,-63.5753248
Non-Profit Organization Grant Program for Affordable Housing,Halifax Regional Municipality,"HRM’s grant program provides capital funding to registered non-profit housing organizations for projects that create, renovate, or convert affordable rental units, including life-safety, code, and accessibility upgrades. By directing small grants to repair and rehabilitate existing buildings, the program helps bring vacant or deteriorated units back to market more quickly and sustains the long-term habitability of older rental stock.",Housing affordability and supply constraints,"Home Repair and Accessibility Grant Pool: Organize pooled small grants and volunteer labor to repair and upgrade older rental units, bringing more existing housing stock to market and improving long-term habitability.",Systemic Exclusion and Weak Sense of Belonging,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,,44.648927,-63.5753248
HRM Affordable Housing Initiatives and Rapid Housing Conversions,Halifax Regional Municipality,"Halifax Regional Municipality identifies underused municipal and privately owned sites suitable for housing and supports partners to convert non-residential buildings (e.g., hotels, offices, and institutional spaces) into rental housing through land contributions, expedited approvals, and coordination of federal/provincial funding. These initiatives organize local inventories, enable community-led feasibility studies, and help finance adaptive reuse projects that expand affordable and mid-mar...",Housing affordability and supply constraints,"Adaptive Reuse of Vacant Buildings: Organize local inventories and partnerships to convert underused commercial, institutional, and industrial spaces into student and mid-market rental units, with community-led feasibility studies and fundraising.",Systemic Exclusion and Weak Sense of Belonging,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,contactus@halifax.ca,44.648927,-63.5753248
Newcomers Guide and Welcome Services,Halifax Regional Municipality,"Halifax Regional Municipality maintains an official Newcomers Guide and online welcome kit that consolidates key relocation information for new and returning residents. The package points to local housing search tools, childcare and school registration, municipal/community event calendars, healthcare access (health cards and family practice registry), and employer networking through the Halifax Partnership Connector Program.",Youth outmigration and insufficient return pathways,"Relocation & Welcome Packages: Create standardized community welcome packages for returners that include housing leads, childcare and schooling info, community events calendar, healthcare access details, and employer contacts.",Systemic Exclusion and Weak Sense of Belonging,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,contactus@halifax.ca,44.648927,-63.5753248
Halifax Quality of Life Survey and Results Dashboard,Halifax Regional Municipality,"HRM’s Quality of Life initiative gathers and publishes disaggregated survey data on housing affordability, transportation, belonging, safety, employment, and access to services across neighbourhoods. Results are released via an online dashboard and public reports, co-managed with community partners (including United Way Halifax and public health and equity organizations) to support community-set targets and regular progress monitoring.",Systemic inequities and discrimination,"Community-led data and accountability dashboard: Collect and publish disaggregated, community-run data on employment, education, housing, and service access, with community targets and regular public progress reports co-managed with representatives of affected groups.",Systemic Exclusion and Weak Sense of Belonging,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,contactus@halifax.ca,44.648927,-63.5753248
Wije’winen Housing (within the Wije’winen Centre),Mi’kmaw Native Friendship Centre,"The Mi’kmaw Native Friendship Centre’s Wije’winen development in Halifax includes a significant number of affordable and mid‑market rental units integrated with cultural, health, and employment services, financed through multi‑partner contributions (municipal, provincial, federal, and philanthropic/social finance). Indigenous‑led community governance ensures transparent oversight of rents and tenant priorities—such as Indigenous youth, students, and early‑career workers—directly aligning with...",Housing affordability and supply constraints,"Mid-Market Rental Co-investment: Form local investment consortia (municipalities, employers, credit unions, non-profits) to develop mid-market rental buildings targeted at young professionals and students, with community oversight to set rents and tenancy priorities.",Systemic Exclusion and Weak Sense of Belonging,"2021 Gottingen Street, Halifax, NS B3K 3A9",https://mymnfc.com,info@mymnfc.com,44.6505111,-63.5810952
Employment & Training Services (Indigenous Skills and Employment Training Program),Mi’kmaw Native Friendship Centre,"The Mi'kmaw Native Friendship Centre’s Employment & Training Services co-design training, apprenticeship, and hiring pathways with local employers and Nova Scotia Community College to support urban Mi’kmaw and other Indigenous jobseekers. The program provides culturally safe wraparound supports, including Elders/Knowledge Keeper mentorship, cultural programming, and job coaching, and it brokers paid work placements and apprenticeships with partner employers who commit to inclusive hiring and ...",Systemic inequities and discrimination,"Indigenous-led employment pathways: Partner with Mi'kmaq leadership and local employers to co-design culturally safe apprenticeship, internship, and hiring programs that include cultural mentorship, land-based training options, and targets for Mi'kmaq youth participation.",Systemic Exclusion and Weak Sense of Belonging,"2021 Gottingen Street, Halifax, NS B3K 3A9",https://mymnfc.com,info@mymnfc.com,44.6505111,-63.5810952
Perennia Aquaculture Development & Seafood Market Services,Perennia Food & Agriculture Inc.,"Perennia provides technical and business advisory support to aquaculture producers and seafood processors, helping them improve gear and infrastructure resilience, product quality, and operational safety in a changing climate. Their specialists assist with market diversification, export readiness, and navigating funding programs for equipment and infrastructure upgrades, enabling coastal businesses to stabilize revenues and grow in climate-impacted conditions.",Climate vulnerability and coastal risk,"Support for adaptation in coastal industries: Community business hubs that help fishers, aquaculture operators and tourism businesses diversify markets, adopt resilient infrastructure (e.g., mobile docks), and access funding for climate-ready operations.",Systemic Exclusion and Weak Sense of Belonging,"199 Innovation Drive, Suite 110, Bible Hill, NS B6L 2H5",https://www.perennia.ca,info@perennia.ca,45.388879,-63.2437827
HRCE Community Use of Schools & After-Hours Transportation Coordination,Halifax Regional Centre for Education (HRCE),"Halifax Regional Centre for Education provides facility rentals for after-hours community use and coordinates with contracted student transportation providers to support community shuttle needs when requested. Schools serve as accessible pickup/drop-off locations and staging areas, and available school buses can be chartered for evening or event-based routes, expanding mobility for youth and residents without new capital investment.",Transportation and digital connectivity shortfalls,"Use of school buses and facilities for community transit: Coordinate after‑hours use of existing school buses and facilities to run community routes or evening services, increasing mobility without large new capital investment.",Systemic Exclusion and Weak Sense of Belonging,"33 Spectacle Lake Drive, Dartmouth, NS B3B 1X7",https://www.hrce.ca,,44.7019478,-63.5837496
Newcomer Welcome Centre and EAL Services,Halifax Regional Centre for Education (HRCE),"HRCE operates a Newcomer Welcome Centre that assesses students’ language needs, supports school registration and placement, and liaises with families and educators to ensure appropriate English as an Additional Language (EAL) supports. The Centre connects families with in-school and community partners (such as ISANS and YMCA YREACH), and helps students access extracurriculars and community resources—serving a school-based hub role that mirrors settlement liaison functions.","Newcomer attraction, settlement, and retention challenges","School–Settlement Liaisons: Place trained settlement liaisons in schools to support newcomer children and their parents with school registration, language supports, extracurricular access, and connections to community programs—improving family attachment to the community.",Systemic Exclusion and Weak Sense of Belonging,"33 Spectacle Lake Drive, Dartmouth, NS B3B 1X7",https://www.hrce.ca,,44.7019478,-63.5837496
Barrier-Free Community Events (Childcare Provided),Ecology Action Centre,"The Ecology Action Centre routinely offers free childcare and family-friendly scheduling for public meetings, workshops, and training sessions to reduce barriers to participation. By advertising childcare availability and hosting all-ages programming, EAC enables parents to engage in civic dialogue and community action without needing separate childcare arrangements.",Childcare scarcity and family support gaps,"Event-Based Childcare and Family-Friendly Scheduling: Ensure community events, training sessions, and open houses routinely offer childcare or child-friendly scheduling (including family tickets) so parents can participate in civic and economic life.",Systemic Exclusion and Weak Sense of Belonging,"2705 Fern Lane, Halifax, NS B3K 4L3",https://ecologyaction.ca,info@ecologyaction.ca,44.6567453,-63.59637
Community Repair Cafés and Skill-Swap Events,Ecology Action Centre,"The Ecology Action Centre partners with local groups to run repair cafés and hands-on skill-sharing sessions where community members exchange time and know-how to fix clothing, appliances, and bikes, and to learn maintenance skills. These events foster a mutual-aid network that mirrors time-banking principles—participants contribute volunteer hours as hosts or fixers and, in turn, receive help and training—reducing costs and preventing burnout among a small core of volunteers.",Rural service erosion and community capacity constraints,"Time-Banking and Skill-Swap Networks: Launch a community time-bank where residents trade hours of service (childcare, gardening, IT help), building mutual support without financial strain and reducing reliance on volunteers doing repeated unpaid tasks.",Systemic Exclusion and Weak Sense of Belonging,"2705 Fern Lane, Halifax, NS B3K 4L3",https://ecologyaction.ca,info@ecologyaction.ca,44.6567453,-63.59637
Affordable Homeownership with Long-Term Affordability Controls,Habitat for Humanity Nova Scotia,"Habitat for Humanity Nova Scotia acquires land and constructs homes that are sold to qualifying families using ground leases, shared-equity/second-mortgage instruments, and resale restrictions that preserve affordability across owners. This structure separates land value from the home price and embeds lasting affordability conditions—functionally aligning with CLT principles to keep housing permanently affordable while ensuring community-focused stewardship of the asset.",Housing affordability and supply constraints,"Community Land Trust (CLT): Establish a locally governed CLT to buy and hold land for permanently affordable ownership and rental housing, ensuring long-term affordability and community control over development priorities.",Systemic Exclusion and Weak Sense of Belonging,"81 Wright Avenue, Dartmouth, NS B3B 1H4",https://habitatns.ca,info@habitatns.ca,44.7050784,-63.5968992
Supportive Housing (Property Acquisitions and Conversions),Build Nova Scotia,Build Nova Scotia partners with the Province and community organizations to acquire and repurpose hotels and other vacant or underused buildings into supportive and deeply affordable housing across the province. The agency oversees rapid retrofit projects—funded by provincial dollars and federal programs such as the Rapid Housing Initiative—by contracting local trades to convert existing properties into code‑compliant homes with on‑site supports. Reusing built assets delivers units quickly an...,Housing affordability and supply constraints,"Vacant Property Reuse Initiative: Map and repurpose vacant or underused buildings (commercial or institutional) by assembling volunteer teams, local trades and small grants to convert them into affordable units.",Systemic Exclusion and Weak Sense of Belonging,"1809 Barrington Street, Suite 1300, Halifax, NS B3J 3K8",https://buildns.ca,info@buildns.ca,44.6489899,-63.5745798
Public Lands and Assets for Housing (Adaptive Reuse and Redevelopment),Build Nova Scotia,"Build Nova Scotia inventories surplus and underused public assets and leads partnerships to convert them into housing, including the adaptive reuse of existing buildings. Through calls for proposals and pre-development support, they work with municipalities, post-secondary institutions, non-profits, and private developers to transform vacant or underutilized commercial and institutional properties into mixed-income and student-oriented rentals, backed by feasibility work and capital stack ass...",Housing affordability and supply constraints,"Adaptive Reuse of Vacant Buildings: Organize local inventories and partnerships to convert underused commercial, institutional, and industrial spaces into student and mid-market rental units, with community-led feasibility studies and fundraising.",Systemic Exclusion and Weak Sense of Belonging,"1875 Upper Water Street, Halifax, NS B3J 1S9",https://buildns.ca,info@buildns.ca,44.6505119,-63.5728293
Working Waterfronts Program,Build Nova Scotia,"Build Nova Scotia’s Working Waterfronts initiative plans, builds, and manages resilient coastal infrastructure—such as floating and modular docks, seasonal berthing, and accessible shore services—used by fishers, tour operators, and other marine businesses. By providing storm-ready, maintainable, and adaptable facilities across key waterfronts, the program reduces climate risk exposure and enables operators to sustain and expand market offerings in coastal communities.",Climate vulnerability and coastal risk,"Support for adaptation in coastal industries: Community business hubs that help fishers, aquaculture operators and tourism businesses diversify markets, adopt resilient infrastructure (e.g., mobile docks), and access funding for climate-ready operations.",Systemic Exclusion and Weak Sense of Belonging,"1875 Upper Water Street, Suite 301, Halifax, NS B3J 1S9",https://buildns.ca,info@buildns.ca,44.6505119,-63.5728293
Project Delivery and Community Infrastructure Coordination,Build Nova Scotia,"Build Nova Scotia convenes interdepartmental and multi-stakeholder working sessions for major community and infrastructure projects—bringing together municipal planners, provincial regulators, utilities, and community partners with proponents. These coordinated clinics map permitting pathways, align dependencies, and produce consolidated action lists and milestone schedules that de-risk timelines and keep projects moving.","Fragmented governance, regulation, and collaboration","Regional One-Stop Project Clinics: Monthly clinics where multi-disciplinary municipal, provincial, utility and community representatives meet applicants (businesses, non-profits, developers) to identify permitting requirements, coordinate steps, and issue consolidated checklists and milestone dates.",Systemic Exclusion and Weak Sense of Belonging,"1751 Lower Water Street, Suite 103, Halifax, NS B3J 1S5",https://buildns.ca,info@buildns.ca,44.6492185,-63.5710311
Volta Careers (Startup and Scaleup Job Board),Volta,"Volta’s online careers page lists roles from resident startups and partner companies, including internships, co-ops, part-time, and project-based placements. By centralizing postings from the local innovation community, it provides a practical matching platform that connects students and new grads with hands-on work-integrated learning experiences in Nova Scotia’s tech ecosystem.",Skills mismatch and weak work-integrated learning,"Local Placement Matching Platform: Develop a simple community-run online platform or bulletin (managed by a chamber or community org) that matches students, recent graduates and adult learners with local co-ops, part-time roles, internships and project-based placements.",Systemic Exclusion and Weak Sense of Belonging,"1505 Barrington Street, Suite 100, Halifax, NS B3J 3K5",https://voltaeffect.com,info@voltaeffect.com,44.6445647,-63.5723991
HR for Startups Program & Volta Job Board Support,Volta,"Volta provides mentorship, workshops, and peer learning for startups on building compensation frameworks, publishing salary ranges, and articulating total rewards to candidates. Through programming and its job board support, Volta encourages transparent pay practices and connects founders to Nova Scotia living‑wage research and practical templates, enabling small employers to adopt clear salary bands and benefits explanations that improve hiring outcomes.",Perception and branding of opportunity in Nova Scotia,"Wage transparency and living-wage pledge toolkit: Develop a volunteer-supported toolkit for small employers to publish salary bands, commit to local living-wage standards where possible, and explain benefits/perks to improve recruitment and perceptions about pay.",Systemic Exclusion and Weak Sense of Belonging,"1505 Barrington Street, Mezzanine Level, Halifax, NS B3J 3K5",https://voltaeffect.com,info@voltaeffect.com,44.6445647,-63.5723991
YWCA Halifax – Housing and Public Policy Advocacy,YWCA Halifax,"YWCA Halifax engages in municipal consultations and community coalitions to advance inclusionary housing measures that secure affordable homes for women and families within new private developments. They mobilize community voices, recommend clear affordability targets, and advocate developer supports such as incentive grants and streamlined approvals so inclusionary requirements are effective and implementable.",Housing affordability and supply constraints,"Inclusionary Zoning Advocacy: Mobilize community groups to advocate municipal policies that require or incentivize affordable units in new developments, with clear local targets and developer supports.",Systemic Exclusion and Weak Sense of Belonging,"358 Herring Cove Road, Halifax, NS B3R 1V8",https://ywcahalifax.com,info@ywcahalifax.com,44.6122376,-63.6172244
Onsite Early Learning and Program Child-Minding,YWCA Halifax,"YWCA Halifax provides onsite licensed early learning and program child-minding at the same location where participants take employment, education, and entrepreneurship programs, enabling parents to work on coursework or business tasks while children are supervised in nearby rooms. Fees are subsidized or free for program participants, offering an accessible, co-located work/study environment with affordable care.",Childcare scarcity and family support gaps,Parent Cooperative Study & Work Spaces with Onsite Care: Shared community spaces where parents can study or work while children are nearby in a supervised room; participants rotate supervision or contribute small fees to retain affordable care.,Systemic Exclusion and Weak Sense of Belonging,"358 Herring Cove Road, Halifax, NS B3R 1V8",https://ywcahalifax.com,info@ywcahalifax.com,44.6122376,-63.6172244
"Systemic Advocacy — Affordable, Accessible Child Care",YWCA Halifax,"YWCA Halifax leads public campaigns and storytelling efforts that highlight the lived experiences of caregivers and early childhood educators facing a shortage of affordable, flexible child care. Through coalition-building, policy briefs, and meetings with municipal and provincial decision-makers, they advocate for flexible licensing, ECE wage supports, and dedicated rural funding to close access gaps. They also share community-informed research and resources to help map where care is most ne...",Childcare scarcity and family support gaps,"Community Advocacy & Information Campaigns: Organize local campaigns to map childcare gaps, share stories, and lobby municipal or provincial bodies for flexible licensing, wage supports, and rural-focused funding—amplifying community needs.",Systemic Exclusion and Weak Sense of Belonging,"358 Herring Cove Road, Halifax, NS B3R 1V8",https://ywcahalifax.com,info@ywcahalifax.com,44.6122376,-63.6172244
Childcare Supports for Programs,YWCA Halifax,"YWCA Halifax integrates free on-site childminding and childcare supports into many of its employment, leadership, and community programs so caregivers can attend training and workshops. Sessions are frequently scheduled at family-friendly times (school-day or early evening), and events are designed to be inclusive of parents and children when appropriate.",Childcare scarcity and family support gaps,"Event-Based Childcare and Family-Friendly Scheduling: Ensure community events, training sessions, and open houses routinely offer childcare or child-friendly scheduling (including family tickets) so parents can participate in civic and economic life.",Systemic Exclusion and Weak Sense of Belonging,"358 Herring Cove Road, Halifax, NS B3R 1V8",https://ywcahalifax.com,info@ywcahalifax.com,44.6122376,-63.6172244
