Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Game Changers Youth Retention Employer Pledge,Halifax Partnership,"Halifax Partnership’s Game Changers initiative invites employers to publicly pledge to hire for skills by offering co-ops, internships, and entry-level roles where performance and task-based trials matter more than years of experience. Participating employers are showcased in talent campaigns and networking events, signaling to youth and newcomers that these workplaces practice skills-first hiring and help break the ‘no experience, no job’ cycle.",Credential Recognition and Experience Barriers,"Employer 'Hire for Skills' Pledge: Ask local employers to commit publicly to skills‑based hiring practices (competency tests, trial tasks, anchored references) and promote participating employers to jobseekers.",Structural Economic Scale and Capital Constraints,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Alderney Landing Commercial Kitchen and Farmers’ Market,Alderney Landing Association,"Alderney Landing operates an inspected, bookable commercial kitchen and a waterfront farmers’ market that offers low-cost, short-term vendor spaces. Entrepreneurs can produce small batches in the community kitchen and immediately test products at market pop-ups and festivals on-site, with staff support for scheduling and basic permitting guidance.",Barriers to Entrepreneurship and Small Business Growth,"Pop-up Retail & Kitchen Program: A community-run calendar and space-rotation program that lets entrepreneurs test products and food concepts in vacant storefronts, festivals, or community kitchens with minimal upfront costs.",Structural Economic Scale and Capital Constraints,"2 Ochterloney Street, Dartmouth, NS B2Y 4W1",,info@alderneylanding.com,44.6644002,-63.5701366
Antigonish Farmers’ Market Co-operative,Antigonish Farmers’ Market Co-operative,"A vendor-owned co-operative that operates a year-round public market, pooling member resources to provide shared retail space, marketing, and governance for small producers and entrepreneurs. By collectively owning the market and its infrastructure, vendors reduce individual startup and overhead costs while keeping decision-making local through democratic member control.",Barriers to Entrepreneurship and Small Business Growth,"Cooperative Ownership Models: Support cooperative business models where workers or community members buy equity collectively, reducing individual capital needs and keeping businesses anchored locally with shared governance.",Structural Economic Scale and Capital Constraints,"20 James Street, Antigonish, NS B2G 1R7",,manager@antigonishfarmersmarket.ca,45.6160572,-62.0012244
Evergreen Festival,Downtown Halifax Business Commission,"Evergreen Festival is a multi-week winter celebration in late November and December featuring outdoor light installations, artisan markets, live music, and cultural programming throughout downtown Halifax and the waterfront. By activating public spaces and venues in the off-season, it drives foot traffic to local businesses and creates paid opportunities for artists, vendors, and hospitality workers, smoothing seasonal demand.",Industry Concentration and Seasonality,"Year-round Cultural and Events Calendar: Organize community-led festivals, markets, workshops and performances in shoulder and off-seasons to smooth demand for hospitality and creative work and to keep visitor flows and local spending more consistent.",Structural Economic Scale and Capital Constraints,"1546 Barrington Street, Suite 104, Halifax, NS B3J 2A2",,info@downtownhalifax.ca,44.6449202,-63.5731504
Halifax Partnership – Inclusive Economic Strategy (People. Planet. Prosperity.),Halifax Partnership,"Halifax Partnership leads the city’s cross-sector economic strategy by convening business leaders, post-secondary institutions, non-profits, and municipal representatives to identify gaps, align workforce training, and coordinate investment attraction. Through initiatives like the Connector Program and sector collaborations, it pools marketing efforts and drives diversification beyond seasonal industries, helping retain and attract young talent with year-round opportunities.",Industry Concentration and Seasonality,"Cross-sector Economic Diversification Council: Form a community council of business owners, non-profits, education and municipal reps to identify gaps, coordinate training, pool marketing, and develop strategies to reduce sector reliance and seasonality.",Structural Economic Scale and Capital Constraints,"1800 Argyle Street, Suite 810, Halifax, NS B3J 3N8",,info@halifaxpartnership.com,44.6482199,-63.5767414
PAINTS (Professional Artists in the Schools),Visual Arts Nova Scotia,"PAINTS connects professional visual artists with P–12 classrooms across Nova Scotia for paid, curriculum-connected residencies ranging from single sessions to multi-week projects. Artists mentor students and teachers through hands-on art-making, building skills and intergenerational connections while keeping youth engaged in creative practice.","Underinvestment in Arts, Culture, and Recreation","Artist Residency and School Mentorships: Match local artists with schools and community groups for in-residence projects, skill-sharing and paid mentorship that strengthens intergenerational connections and keeps youth engaged.",Structural Economic Scale and Capital Constraints,"1113 Marginal Road, Halifax, NS B3H 4P7",,programs@vans.ca,44.6393248,-63.5661532
Evergreen Festival,Downtown Halifax Business Commission (in partnership with Build Nova Scotia and community partners),"A winter city-wide festival that unites arts groups, venues, waterfront sites, markets, and small businesses to keep cultural activity vibrant through late fall and early winter. By coordinating concerts, light installations, artisan markets, and community events across partner sites, it staggers programming outside the summer peak and builds a coalition of presenters that sustains year-round cultural momentum.","Underinvestment in Arts, Culture, and Recreation","Year-Round Programming Consortium: Coordinate a coalition of festivals, venues and community groups to produce staggered, seasonal programming so cultural activity continues throughout the year rather than peaking only in summer.",Structural Economic Scale and Capital Constraints,"1546 Barrington Street, Suite 104, Halifax, NS B3J 3X7",,info@downtownhalifax.ca,44.6449202,-63.5731504
Alderney Landing Year-Round Cultural Programming,Alderney Landing Association,"Alderney Landing functions as a community hub coordinating festivals (e.g., Canada Day, Natal Day, Christkindlmarket), concerts, markets, theatre, and cultural gatherings with local partners across all seasons. By aligning municipal, community, and arts stakeholders and hosting events throughout the year, it creates staggered, seasonal programming that keeps Dartmouth’s waterfront culturally active beyond the summer peak.","Underinvestment in Arts, Culture, and Recreation","Year-Round Programming Consortium: Coordinate a coalition of festivals, venues and community groups to produce staggered, seasonal programming so cultural activity continues throughout the year rather than peaking only in summer.",Structural Economic Scale and Capital Constraints,"2 Ochterloney Street, Dartmouth, NS B2Y 4W1",,info@alderneylanding.com,44.6644002,-63.5701366
Arts Nova Scotia Opportunities Board,Arts Nova Scotia (Province of Nova Scotia),"Arts Nova Scotia curates a province-wide opportunities board listing paid contracts, jobs, calls for artists, and project-based gigs across festivals, theatres, galleries, and arts organizations. As a publicly funded, centralized platform, it connects young creatives to short-term paid roles in events, production, and arts administration. This functions as a local gig board that strengthens access to compensated creative work throughout Nova Scotia.","Underinvestment in Arts, Culture, and Recreation","Paid Youth Apprenticeships and Gig Platforms: Develop municipal or business-subsidized paid apprenticeship programs and a local gig board that connects young creatives with short-term paid opportunities in events, production and arts administration.",Structural Economic Scale and Capital Constraints,"1741 Brunswick Street, Halifax, NS B3J 3X8",,artsnscotia@novascotia.ca,44.6473243,-63.5766982
Millbrook Cultural & Heritage Centre,Millbrook Cultural & Heritage Centre,"A Mi’kmaw cultural centre and museum offering exhibits, guided tours, cultural demonstrations, and community events. Through storytelling, art, drumming and dance presentations, and seasonal celebrations that welcome schools and the public, it elevates Mi’kmaw heritage, builds inter-community relationships, and advances understanding across the province.",Inclusion and Discrimination,"Cultural Centres and Celebration Festivals: Establish and support community-run cultural centres and annual festivals that showcase Mi'kmaq, African Nova Scotian and other cultural heritages through food, music, storytelling and art to build inter-community relationships and visibility.",Structural Economic Scale and Capital Constraints,"65 Treaty Trail, Millbrook, NS B6L 1W3",,info@millbrookheritage.ca,45.3307883,-63.3047308
Road to Economic Prosperity (ANREP) – Inclusive Hiring and Procurement Commitments,Halifax Partnership,"ANREP convenes HRM, anchor institutions, and local businesses to adopt concrete commitments that grow employment and procurement opportunities for African Nova Scotians, including supplier diversity pledges, inclusive hiring pathways, and mentorship. The initiative sets measurable actions and publishes progress updates and scorecards, creating accountability for equitable hiring and local purchasing across Halifax.",Inclusion and Discrimination,"Inclusive Local Hiring and Procurement Pledges: Encourage municipalities, school boards and local businesses to adopt public hiring and procurement commitments that prioritize equity, target barriers for underrepresented groups, and track/report progress transparently.",Structural Economic Scale and Capital Constraints,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Black Entrepreneur Startup Program (BESP),Futurpreneur Canada,"Futurpreneur’s Black Entrepreneur Startup Program offers tailored business coaching, up to $60,000 in start-up financing (in partnership with BDC), and two years of mentorship for Black entrepreneurs aged 18–39. Operating in Nova Scotia through its Atlantic office, the program removes common barriers by combining accessible capital with training, planning tools, and community connections.",Inclusion and Discrimination,"Micro-grants and Business Supports for Black and Indigenous Entrepreneurs: Create local micro-grant funds, low-interest loans, business incubators and tailored training to remove barriers for African Nova Scotian and Indigenous entrepreneurs starting or scaling small businesses.",Structural Economic Scale and Capital Constraints,"1505 Barrington Street, Suite 100, Halifax, NS B3J 3K5",,info@futurpreneur.ca,44.6445647,-63.5723991
Come to Work (Nova Scotia),CNIB (Canadian National Institute for the Blind) – Nova Scotia,"CNIB’s Come to Work program connects job seekers who are blind, partially sighted, or Deafblind with inclusive employers and provides job readiness training and one‑to‑one coaching. The program conducts workplace assessments, advises on accessible technology and accommodations, and delivers employer education to build inclusive hiring pipelines—embodying the solution’s supported employment and workplace accommodations consulting model.",Inclusion and Discrimination,"Disability Employment and Skills Training Hubs: Establish community hubs offering supported employment programs, workplace accommodations consulting, job coaching and employer education to increase hiring and retention of people with disabilities.",Structural Economic Scale and Capital Constraints,"6136 Almon Street, Halifax, NS B3K 1T8",,info@cnib.ca,44.6556173,-63.600682
Project/Action Grants,Nova Scotia Public Interest Research Group (NSPIRG),"NSPIRG provides small, rapid‑turnaround grants to student and youth‑led initiatives that advance social and environmental justice on campus and in the broader Halifax community. Funding typically supports civic‑minded projects such as public education events, pop‑up services, mutual aid efforts, and public art, with a simple application and light reporting that make it easy for youth to lead.",Youth Voice and Civic Influence,"Micro‑grants for Youth‑Led Civic Projects: Create a community fund that awards small, rapid-turnaround grants to youth-led civic initiatives (public art, pop-up services, neighbourhood improvements) with light reporting requirements.",Structural Economic Scale and Capital Constraints,"Room 314, Dalhousie Student Union Building, 6136 University Avenue, Halifax, NS B3H 4J2",,info@nspirg.ca,44.648618,-63.5859487
Student Vote Nova Scotia,CIVIX (in partnership with Elections Nova Scotia),"Student Vote is a parallel election program that runs in Nova Scotia schools during real election periods, providing teachers with curriculum-aligned lesson plans, activities, and materials so students can learn about government, issues, and candidates before participating in a school-wide mock vote. By mirroring the official election process and encouraging classroom Q&As or forums with local candidates and representatives, it provides a hands-on simulation of democratic decision-making. Thi...",Youth Voice and Civic Influence,School‑to‑Community Civic Curriculum and Service Learning: Work with school boards to embed community-based civic projects and local governance simulations into the curriculum that connect students directly to municipal needs and decision-makers.,Structural Economic Scale and Capital Constraints,"202 Brownlow Avenue, Suite 101, Dartmouth, NS B3B 1T5",,info@electionsnovascotia.ca,44.6981233,-63.581871
Workshops & Skillshares,Nova Scotia Public Interest Research Group (NSPIRG),"NSPIRG runs free, short, skills-based workshops for students and community members on facilitation, consensus decision-making, conflict navigation, power analysis, and advocacy/policy literacy. These trainings prepare youth and adult allies to co-facilitate meetings, negotiate with decision-makers, and design equitable, shared-power processes for campus and community change.",Youth Voice and Civic Influence,"Training for Co‑Governance and Facilitation: Offer short community workshops for youth and adult allies on facilitation, policy literacy, negotiation and power-sharing so both sides can engage in equitable co‑decision processes.",Structural Economic Scale and Capital Constraints,"Room 314, Student Union Building, 6136 University Avenue, Halifax, NS B3H 4J2",,info@nspirg.ca,44.6367223,-63.5892308
Atlantic First Nations Youth Council on Water (AFNYCW),Atlantic Policy Congress of First Nations Chiefs Secretariat,"AFNYCW brings together Mi’kmaq and other Indigenous youth from Atlantic communities, including Nova Scotia, to advise Chiefs, planners, and governments on water and environmental decisions. Through APC’s environment programs, the council co-develops recommendations and community engagement processes, creating a structured, culturally appropriate pathway for youth voices to shape local water stewardship and related policy.",Youth Voice and Civic Influence,Partnerships with Mi'kmaq and Indigenous Youth Councils: Co-create formal pathways for Indigenous youth voice by partnering with Mi'kmaq communities and organizations to ensure culturally appropriate roles in local decision-making.,Structural Economic Scale and Capital Constraints,"153 Willowdale Drive, Dartmouth, NS B2V 0A5",,info@apcfnc.ca,44.6799707,-63.5720232
Annapolis Valley Regional Library (AVRL),Annapolis Valley Regional Library,"AVRL is a regional library board serving multiple municipalities in the Annapolis Valley, using a cross-municipal governance model that includes municipal and community representatives to set shared service priorities. It coordinates programming, staffing, and infrastructure across branches, aligning timelines and budgets so that initiatives scale regionally rather than siloed by town. AVRL consolidates and submits joint applications for provincial public library funding and federal project g...",Policy Fragmentation and Short-Term Funding,"Regional Service Councils: Establish cross-municipal councils of community organizations, local governments and service providers to coordinate priorities, share resources, align timelines and present unified proposals to provincial or federal funders.",Structural Economic Scale and Capital Constraints,"26 Bay Road, Bridgetown, NS B0S 1C0",,askus@valleylibrary.ca,44.8435247,-65.2962713
Feed Nova Scotia Volunteer Program,Feed Nova Scotia,"Feed Nova Scotia engages skilled volunteers in data entry for donor and client systems, file organization, and reporting support, which preserves institutional knowledge and ensures accurate, up-to-date records. Volunteers are also mobilized for short-term operational needs—such as reception, logistics, and warehouse coordination—helping maintain service continuity during periods of funding or staffing fluctuation.",Policy Fragmentation and Short-Term Funding,"Volunteer Continuity & Knowledge Team: Assemble a trained volunteer cadre to preserve institutional knowledge (archives, contacts, evaluation records) and provide short-term operational support when funding gaps threaten continuity.",Structural Economic Scale and Capital Constraints,"67 Wright Avenue, Dartmouth, NS B3B 1H2",,info@feednovascotia.ca,44.7037091,-63.5997121
Canadian Red Cross – Nova Scotia Disaster Management Program,"Canadian Red Cross, Nova Scotia","The Canadian Red Cross recruits and trains volunteers across Nova Scotia to prepare for and respond to floods, hurricanes, and severe storms. Volunteer teams receive training in first-response support, wellness checks, sheltering and evacuations, needs assessments, and hands-on tasks such as sandbagging and distributing relief supplies to protect vulnerable residents in coastal and rural communities.",Climate Risks and Infrastructure Resilience,"Community Emergency Response Teams (CERT): Train local volunteers in first response, search and rescue basics, sandbagging, and neighborhood check-ins to reduce immediate storm damage and support vulnerable residents.",Structural Economic Scale and Capital Constraints,"133 Troop Avenue, Dartmouth, NS B3B 2A7",,info@redcross.ca,44.7099632,-63.5846921
Digby Community Hub,Digby Area Learning Association (DALA),"Operated by the Digby Area Learning Association, the Digby Community Hub co-locates Nova Scotia Works employment services, adult learning, digital access, and youth programming under one roof. It provides classrooms, public computers and drop-in workspaces, workshops and training, and bookable meeting rooms, with partner agencies offering outreach clinics and information sessions. This centralized access point helps rural residents find training, jobs, and supports without traveling to larger...",Regional Disparities,"Multi-Service Community Hubs: Convert or build centrally located hubs that combine coworking, training, health outreach, daycare drop-in, library services and meeting space to create one-stop access to amenities.",Structural Economic Scale and Capital Constraints,"87 Warwick Street, Digby, NS B0V 1A0",,info@dala.ca,44.6165485,-65.7631218
Festival de la Mi-Carême (Mi-Carême Cultural Program),La Société Mi-Carême (Centre de la Mi-Carême),"Rooted in Acadian tradition, Festival de la Mi-Carême features mask-making, storytelling nights, parades, and exhibitions that animate Grand-Étang and neighbouring communities each spring. By bringing residents and visitors together in shared cultural spaces and public celebrations, it strengthens local identity, supports artists and artisans, and boosts rural cultural tourism.",Regional Disparities,"Cultural and Place-Making Events: Organize festivals, markets, public art, and storytelling nights that celebrate local identity, attract visitors, and make communities more appealing places to live.",Structural Economic Scale and Capital Constraints,"51 Old Cabot Trail, Grand-Étang, NS B0E 1L0",,info@micareme.ca,46.5486952,-61.04252
Start-Up Yard at COVE,COVE (Centre for Ocean Ventures and Entrepreneurship),"Start-Up Yard is an ocean-technology incubator located in a repurposed federal Coast Guard facility, providing access to shared workshops, prototyping labs, machine shop, wet labs, and a deepwater testing wharf. It delivers structured mentorship, business advisory, and market development supports that help startups and trades-focused suppliers prototype, scale, and hire locally within Nova Scotia’s blue economy.",Insufficient Quality Jobs and Career Ladders,"Community-led Mini Incubators and Makerspaces: Convert underused municipal or non-profit spaces into low-cost incubators and makerspaces that provide equipment, mentorship, and business supports for startups, social enterprises, and skilled tradespeople to prototype, scale and hire locally.",Structural Economic Scale and Capital Constraints,"27 Parker Street, Dartmouth, NS B2Y 4T5",https://coveocean.com,info@coveocean.com,44.6622182,-63.5567724
Navigate Startup House,Navigate (Cape Breton University + Cape Breton Partnership),"Navigate provides low-cost co-working, a makerspace-style prototyping area, and entrepreneurial programming from a renovated community innovation hub in Sydney’s downtown. Through mentorship, workshops, and one-on-one business coaching (delivered by a partnership of Cape Breton University and the Cape Breton Partnership), it enables startups, social enterprises, and tradespeople in Cape Breton to build, test, and grow companies without leaving the region.",Insufficient Quality Jobs and Career Ladders,"Community-led Mini Incubators and Makerspaces: Convert underused municipal or non-profit spaces into low-cost incubators and makerspaces that provide equipment, mentorship, and business supports for startups, social enterprises, and skilled tradespeople to prototype, scale and hire locally.",Structural Economic Scale and Capital Constraints,"37 Nepean Street, Sydney, NS B1P 1J2",https://navigatestartup.ca/,info@navigatestartup.ca,46.1431613,-60.1966931
Rural Innovation Centre (RIC) at the Perennia Innovation Centre,Perennia Food and Agriculture Corporation,"The Rural Innovation Centre offers incubator space, shared labs, pilot-scale processing facilities, and technical advisory services for agri-food and bioresource startups in a provincially owned facility in Bible Hill. It pairs equipment access with mentorship, product development support, and business advisory to help rural entrepreneurs prototype, scale production, and create quality local jobs.",Insufficient Quality Jobs and Career Ladders,"Community-led Mini Incubators and Makerspaces: Convert underused municipal or non-profit spaces into low-cost incubators and makerspaces that provide equipment, mentorship, and business supports for startups, social enterprises, and skilled tradespeople to prototype, scale and hire locally.",Structural Economic Scale and Capital Constraints,"90 Research Drive, Bible Hill, NS B6L 2R2",https://perennia.ca,info@perennia.ca,45.3891687,-63.2429674
North Queens Business Hub,Region of Queens Municipality,"Located in a repurposed municipal building in Caledonia, the North Queens Business Hub provides affordable co-working space, meeting rooms, and shared equipment alongside regular workshops and one-on-one small business support. By lowering the barriers to space and business services in a rural community, it serves as a mini-incubator that helps freelancers, tradespeople, and early-stage ventures start, operate, and hire locally.",Insufficient Quality Jobs and Career Ladders,"Community-led Mini Incubators and Makerspaces: Convert underused municipal or non-profit spaces into low-cost incubators and makerspaces that provide equipment, mentorship, and business supports for startups, social enterprises, and skilled tradespeople to prototype, scale and hire locally.",Structural Economic Scale and Capital Constraints,"9793 Highway 8, Caledonia, NS B0T 1B0",https://northqueensbusinesshub.ca/,manager@northqueensbusinesshub.ca,44.3756978,-65.0275926
Building Futures for Youth (BFY),Construction Association of Nova Scotia (CANS),"BFY connects high school students across Nova Scotia with paid summer placements in the construction sector, pairing them with local employers and on-the-job journeyperson mentors. The program maps clear pathways into apprenticeship, facilitates safety and introductory training, and links participants with NSAA/NSCC for block-release training after they register as apprentices—creating a local pipeline and visible career ladder in the skilled trades.",Insufficient Quality Jobs and Career Ladders,"Local Apprenticeship and Mentorship Network: Create a community-managed registry that matches apprentices with local employers, retired tradespeople mentors, and peer cohorts, coordinates block-release training, and promotes clear local career ladders in trades and technical fields.",Structural Economic Scale and Capital Constraints,"134 Eileen Stubbs Avenue, Unit 103, Dartmouth, NS B3B 2C4",https://www.buildingfutures.ca,info@cans.ns.ca,44.6960439,-63.5736377
NSCC Apprenticeship Training,Nova Scotia Community College (NSCC),"Nova Scotia Community College delivers the in-school technical (block-release and day-release) training for dozens of designated trades, organizing cohorts and schedules in coordination with employers and the Nova Scotia Apprenticeship Agency. Through labs, industry partnerships, and campus-based supports, NSCC helps apprentices connect with local employers and mentors while progressing along clear pathways from entry-level apprentice to certified journeyperson and beyond.",Insufficient Quality Jobs and Career Ladders,"Local Apprenticeship and Mentorship Network: Create a community-managed registry that matches apprentices with local employers, retired tradespeople mentors, and peer cohorts, coordinates block-release training, and promotes clear local career ladders in trades and technical fields.",Structural Economic Scale and Capital Constraints,"5685 Leeds Street, Halifax, NS B3K 2T3",https://www.nscc.ca,info@nscc.ca,44.6695773,-63.6147024
Pathways to Shipbuilding,Nova Scotia Community College (NSCC),"Pathways to Shipbuilding is an employer-educator partnership that lays out a clear progression for careers in shipbuilding, from pre-apprenticeship training through apprenticeship to Red Seal certification and advanced roles. Led by NSCC with industry partners, it publishes the steps, credentials, and supports required at each stage and runs targeted outreach to underrepresented youth so they can see realistic, local advancement paths in the marine sector.",Insufficient Quality Jobs and Career Ladders,"Local Career Ladders Mapping and Communication Campaign: Work with employers and educators to map typical career progressions in key local sectors, publish clear steps and required credentials, and run outreach so young people see realistic local advancement paths.",Structural Economic Scale and Capital Constraints,"80 Mawiomi Place, Dartmouth, NS B2Y 0A5",https://www.nscc.ca,info@nscc.ca,44.6542147,-63.5509426
Student Emergency Fund – Technology & Connectivity Support,Nova Scotia Community College (NSCC),"NSCC’s Student Emergency Fund provides rapid, small bursaries that students can use for urgent technology and connectivity needs, including paying for home internet service, purchasing or replacing a modem/router, or covering installation fees. By offsetting these costs, the fund helps learners in urban, rural, and coastal communities maintain reliable access for online classes, apprenticeships, and work-integrated learning.",Digital Connectivity Gaps,"Digital Access Microgrants: Community foundations and local businesses provide small grants or subsidies for modem/router purchase, installation, or subsidized monthly service for students, apprentices, startups and low-income households.",Structural Economic Scale and Capital Constraints,"5685 Leeds Street, Halifax, NS B3K 2T3",https://www.nscc.ca,awards@nscc.ca,44.6695773,-63.6147024
