Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Connector Program (International/Newcomer & Recent Graduate Streams),Halifax Partnership,"The Halifax Partnership’s Connector Program matches immigrant and international student youth with established professionals for one-on-one informational interviews, mentorship, and warm referrals that build local networks. Participants receive job-search coaching and direct employer connections across sectors, complementing language and settlement services by providing tailored, employer-linked pathways that improve retention and belonging.",Inclusion and Belonging Challenges,"Expanded Settlement and Language Supports: Provide locally delivered language classes, job-readiness training, credential navigation help and newcomer orientation that are tailored to youth needs and connected to schools, employers and mentorship programs.",Talent and Mobility System Misalignment,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",,connector@halifaxpartnership.com,44.6489899,-63.5745798
Halifax Local Immigration Partnership – Immigrant Advisory Table,Halifax Partnership,"The Immigrant Advisory Table convenes newcomers and former refugees to provide lived-experience advice to the Halifax Local Immigration Partnership on strategies, services and funding priorities that improve immigrant settlement and inclusion. Their input informs municipal, community and employer actions that strengthen belonging and retention for diverse newcomer communities.",Inclusion and Belonging Challenges,"Community Advisory Councils with Lived-Experience Representation: Establish or expand municipal and organizational advisory councils that include youth and representatives from Mi'kmaq, African Nova Scotian, newcomer and 2SLGBTQIA+ communities to guide local planning, services and funding decisions.",Talent and Mobility System Misalignment,"1601 Lower Water Street, Suite 104, Halifax, NS B3J 3P6",,info@halifaxpartnership.com,44.6465471,-63.570249
Newcomer Program,Futurpreneur Canada,"Futurpreneur’s Newcomer Program provides financing and up to two years of mentorship to immigrants launching businesses in Canada, including small and home-based ventures in Nova Scotia. The program tailors eligibility and support for those new to Canada, pairing participants with local mentors and resources to build networks and navigate the provincial business environment.",Newcomer Attraction and Retention Hurdles,"Spousal Entrepreneurship Support: Startup clinics, microgrants, and mentorship for newcomer spouses who want to start home-based or small-scale businesses, run by local economic development and immigrant-serving organizations.",Talent and Mobility System Misalignment,"1505 Barrington Street, Suite 100, Halifax, NS B3J 3K5",,info@futurpreneur.ca,44.6445647,-63.5723991
Arts Equity Funding Initiative (AEFI),Arts Nova Scotia,"Arts Nova Scotia’s AEFI provides small, accessible project grants to Indigenous, African Nova Scotian, immigrant, deaf and disability, 2SLGBTQIA+, and other equity-deserving artists and collectives. With simplified applications and multiple intakes, it functions as a microgrant stream that can quickly underwrite project costs, short tours/showcases, or gap expenses between gigs—stabilizing artists’ incomes and enabling fast-turnaround community arts activity.",Arts and Culture Ecosystem Fragility,"Community Arts Microgrant Fund: A locally governed microgrant program funded by municipalities, businesses and community crowdfunding to provide small, fast-turnaround stipends for projects, short tours, or living expenses for artists between gigs.",Talent and Mobility System Misalignment,"1741 Brunswick Street, Halifax, NS B3J 3X8",,artsns@novascotia.ca,44.6473243,-63.5766982
Halifax Partnership Service Agreement with HRM,Halifax Partnership,"Halifax Partnership delivers economic development for the municipality under a multi-year service agreement co-funded by HRM and private/institutional investors, with defined performance metrics and reporting. The agreement shares risk by tying municipal funding to outcomes while leveraging investor contributions, allowing the Partnership to execute priority projects and initiatives more nimbly than traditional procurement. This public–private, joint-risk approach lowers barriers to coordinat...",Fragmented Governance and Slow Execution,"Joint Risk-Sharing Agreements: Negotiate simple local agreements where community organizations and municipalities share defined financial or delivery risks for priority projects, lowering barriers for conservative procurement processes.",Talent and Mobility System Misalignment,"1809 Barrington Street, Suite 1201, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Halifax Connector Program & Work in Halifax Job Portal,Halifax Partnership,"The Halifax Connector Program matches local and returning talent with volunteer business leaders (Connectors) who commit to meet and introduce them to their networks, reinforcing a community-wide norm to hire locally. In tandem, the Partnership’s job portal and campaigns spotlight Halifax-based opportunities, creating a visible directory of regional roles and encouraging employers to prioritize candidates who want to build careers in Nova Scotia.",Talent Perception and Outmigration Narratives,"Local Hiring Pledges & Employment Directory: Encourage local employers to sign a public hiring pledge to prioritize regional candidates where possible and maintain a centralized directory of local job, apprenticeship and contract opportunities to counter the narrative 'you must leave to get work.'",Talent and Mobility System Misalignment,"1809 Barrington Street, Suite 1201, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Game Changers Awards,Halifax Partnership,"This annual celebration honors employers, community leaders, and young professionals who are creating meaningful career opportunities and retaining talent in Halifax. The public recognition showcases local pathways to success and highlights companies investing in youth and newcomers, reinforcing that Nova Scotia offers rewarding careers and community impact.",Talent Perception and Outmigration Narratives,"Public Celebrations & Local Awards: Create annual awards, festivals and public showcases that celebrate local entrepreneurs, skilled tradespeople, artists and community leaders to raise local pride and counteract the idea that success only happens elsewhere.",Talent and Mobility System Misalignment,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Early Childhood Education Work and Learn Pathway,Nova Scotia Community College (NSCC),"NSCC’s Work and Learn pathway enables participants to earn their Early Childhood Education credential while employed in licensed child care, blending paid on-the-job learning with subsidized coursework delivered in partnership with the Province of Nova Scotia. Learners complete structured practicums and workplace mentorship with local centres that frequently convert into job offers, establishing a sustained hiring pipeline and improving ECE recruitment and retention across the province.",Childcare Access and Affordability,"Community Training and Apprenticeship Program: Partner with local colleges and community organizations to offer subsidized ECE training, practicum placements, and hiring pipelines that recruit and retain early childhood educators locally.",Talent and Mobility System Misalignment,"5685 Leeds Street, Halifax, NS B3K 2T3",https://www.nscc.ca,info@nscc.ca,44.6695773,-63.6147024
Irving Shipbuilding Centre of Excellence (ISCE),Nova Scotia Community College (NSCC),"Hosted at NSCC, the ISCE publishes structured training-to-career pathways for shipbuilding and marine trades, enabling Nova Scotians to progress from entry-level to mid- and senior-skilled roles. In partnership with Irving Shipbuilding, graduates connect to local hiring commitments and internal promotion pathways, and employer partners and cohorts are publicly highlighted—advancing transparent career ladders and community recognition for employers investing in local advancement.",Insufficient High-Quality Career Paths,"Local Hiring and Advancement Charter: Adopt a voluntary community charter where employers commit to province-wide transparent hiring and promotion practices, targets for local mid/senior hires, and published career ladders, supported by a public recognition program.",Talent and Mobility System Misalignment,"80 Mawiomi Place, Dartmouth, NS B2Y 0A5",https://www.nscc.ca,info@nscc.ca,44.6542147,-63.5509426
IGNITE Atlantic — Entrepreneurs/Experts-in-Residence and Office Hours,IGNITE Atlantic,"IGNITE Atlantic operates rural innovation hubs that host entrepreneurs/experts-in-residence with regular drop-in office hours, workshops and mentorship for founders at accessible community locations and partner NSCC campuses. Advisors offer coaching, help navigate funding and permitting, and provide warm referrals to professional services across Nova Scotia.",Barriers to Entrepreneurship,"Entrepreneur-in-Residence at Libraries and Campuses: Place experienced founders and business advisers part-time in public libraries, community centres and university campuses to offer drop-in coaching, workshops and referrals in accessible community locations.",Talent and Mobility System Misalignment,"352 East River Road, New Glasgow, NS B2H 3R2",https://igniteatlantic.com,info@igniteatlantic.com,45.5833401,-62.6448939
HRM Community Grants Program,Halifax Regional Municipality,"Halifax Regional Municipality’s Community Grants Program provides seed and project funding to non-profit organizations delivering community services, which can include establishing or expanding affordable, community-run childcare. These small grants help groups cover start-up and capital costs, pilot new models, and scale services, supporting social-enterprise approaches that prioritize affordability and local hiring in neighbourhoods with limited childcare options.",Childcare Access and Affordability,Local Seed Grants and Social Enterprise Models: Community foundations and municipalities offer seed grants and small-business supports to encourage social-enterprise childcare start-ups that prioritize affordability and local hiring.,Talent and Mobility System Misalignment,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,nonprofitgrants@halifax.ca,44.648927,-63.5753248
Barrington Street Heritage Conservation District Incentive Program,Halifax Regional Municipality,"This Halifax Regional Municipality program provides grants and technical support to restore and adapt heritage buildings along Barrington Street, encouraging owners to reactivate long‑vacant upper floors as residential apartments above ground‑floor commercial uses. By offsetting code, life‑safety, and rehabilitation costs, it enables the adaptive reuse of underused storefronts and upper stories into mixed‑use housing, adding units in a walkable urban core without new land consumption.",Housing Affordability and Supply Constraints,"Vacant/Underused Building Reuse Program: Map and mobilize community action to convert vacant storefronts, schools, and warehouses into affordable rental units or mixed‑use housing; coordinate volunteer rehab teams and crowdfunding for renovations.",Talent and Mobility System Misalignment,"1841 Argyle Street, Halifax, NS B3J 3A3",https://www.halifax.ca,heritage@halifax.ca,44.648927,-63.5753248
Short-Term Rentals (STR) Licensing and Land-Use Rules,Halifax Regional Municipality,"Halifax Regional Municipality regulates short-term rentals through a licensing program and land-use bylaw amendments that generally limit whole-home STRs in residential areas to a host’s primary residence, require registration numbers on listings, and enable municipal enforcement. These community-led rules protect long-term rental supply by curbing commercial STRs in neighbourhoods, and HRM provides guidance to owners on transitioning units into compliant long-term rentals, including pointing...",Housing Affordability and Supply Constraints,Local Short‑Term Rental Management and Regulation: Develop community-led regulations and registries for short‑term rentals to protect long‑term housing stock; offer pathways for hosts to convert to longer leases with incentives.,Talent and Mobility System Misalignment,"5251 Duke Street, Halifax, NS B3J 1P3",https://www.halifax.ca,contactus@halifax.ca,44.6492689,-63.5761344
"Halifax Permits, Planning, Licensing & Compliance (PPL&C) Customer Portal",Halifax Regional Municipality,"HRM’s digital portal lets residents and businesses submit development proposals and building/plumbing/electrical permit applications, upload drawings, pay fees, and monitor review status across municipal departments. It consolidates required permits, target timelines, review comments, and case officer contacts into a single online workspace, cutting email loops and in-person visits and accelerating coordinated decision-making.",Fragmented Governance and Slow Execution,"Digital Collaboration and Approvals Hub: Build a community-maintained online hub that centralizes project proposals, required permits, timelines, contact persons across government levels, and status updates to reduce back-and-forth and shorten decision cycles.",Talent and Mobility System Misalignment,"40 Alderney Drive, Dartmouth, NS B2Y 2N5",https://www.halifax.ca,permits@halifax.ca,44.6645795,-63.5693508
Halifax Right-of-Way Patio and Parklet Program (Sidewalk Café Licence),Halifax Regional Municipality,"Halifax Regional Municipality issues seasonal, time-limited permits that let businesses temporarily use the public right-of-way for patios and parklets, with streamlined approvals and clear operating criteria. Introduced and expanded through quick-response pilots, the program functions as a municipal regulatory sandbox—testing flexible rules, evaluating safety/economic outcomes, and then standardizing successful approaches—so youth-led restaurants, cafes, and creative vendors can launch or ex...",Fragmented Governance and Slow Execution,"Municipal Regulatory Sandbox Program: Launch a community-driven sandbox allowing pilot regulatory flexibility for innovative youth employment and business models on a time-limited basis, with clear evaluation criteria so successful models can be scaled without lengthy approvals.",Talent and Mobility System Misalignment,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,contactus@halifax.ca,44.648927,-63.5753248
Strategic Performance Snapshot (Municipal Performance Dashboard),Halifax Regional Municipality,"Halifax Regional Municipality maintains an interactive performance dashboard tracking planning and development metrics, including permit volumes, processing timelines, and affordable housing units enabled. By publishing standardized, up-to-date indicators, the Snapshot serves as a cross-government scorecard that helps community-led proposals and municipal projects demonstrate outcomes, accelerating approvals and coordinating efforts with provincial and federal housing and infrastructure progr...",Fragmented Governance and Slow Execution,"Community Impact Dashboard and Scorecard: Maintain an accessible dashboard tracking outcomes (jobs created, youth retained, housing units) for community-led initiatives to provide evidence that accelerates funder approvals and aligns multi-level government decision-making.",Talent and Mobility System Misalignment,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,contactus@halifax.ca,44.648927,-63.5753248
Indigenous Housing Partnership (Nova Scotia),Habitat for Humanity Nova Scotia,"This Habitat for Humanity Nova Scotia initiative adapts the organization’s shared‑equity homeownership model for Indigenous families living on- and off‑reserve, reducing barriers to ownership with lower up‑front costs and sweat‑equity in place of a traditional down payment. Purchasers receive an affordable first mortgage and a deferred shared‑equity second mortgage, with transparent resale and buy‑back provisions that protect long‑term affordability while allowing families to build equity ove...",Cost of Living and Student Debt Burden,"Rent-to-Own and Shared‑Equity Home Programs: Create locally administered rent‑to‑own and shared‑equity models that let young people build equity with lower up‑front costs, with municipal or non‑profit partners guaranteeing transparency and resale rules.",Talent and Mobility System Misalignment,"81 Wright Avenue, Dartmouth, NS B3B 1H4",https://habitatns.ca,info@habitatns.ca,44.7050784,-63.5968992
Provincial Rapid Housing and Modular Procurement,Build Nova Scotia,"Build Nova Scotia aggregates multiple affordable and supportive housing projects into province-wide tenders for modular units and related site works, leveraging volume to secure lower pricing on materials and coordinated trades. By bundling projects and centralizing procurement, the initiative reduces per-unit costs and shortens timelines for non-profit and public housing providers across the province.",Housing Affordability and Supply Constraints,"Bulk Purchasing Coop for Materials: Organize bulk-buying cooperatives for construction materials and trades services to lower costs for small builders, renovations, and non-profit housing projects.",Talent and Mobility System Misalignment,"1875 Upper Water Street, Suite 301, Halifax, NS B3J 1S9",https://buildns.ca,info@buildns.ca,44.6505119,-63.5728293
Volta Investor Connect,Volta,"Volta’s Investor Connect program builds and convenes a network of local angel investors and experienced executives to review curated deal flow, host investor-only pitch sessions, and coordinate syndication into Atlantic Canadian startups. By pooling local capital—often via group rounds or SPVs—the program helps reduce minimum cheque sizes for individual angels while channeling investment toward regional strengths such as ocean tech, cleantech, and creative digital industries. This directly im...",Barriers to Entrepreneurship,"Pooled Local Angel Network: A community-organized syndicate of local high-net-worth individuals and retired executives that co-invests in promising startups, with reduced minimums and sector focus on regional strengths (ocean tech, clean energy, forestry, creative industries).",Talent and Mobility System Misalignment,"1505 Barrington Street, Halifax, NS B3J 3K5",https://voltaeffect.com,info@voltaeffect.com,44.6445647,-63.5723991
Volta Office Hours: Legal and Accounting Clinics,Volta,"Volta hosts recurring, no-cost office hours where partner law firms and accounting firms meet one-on-one with founders to answer startup legal and finance questions. These pro bono clinics help new ventures choose and file incorporation structures, understand shareholder and contractor agreements, and learn bookkeeping, HST, payroll and tax basics—reducing early-stage complexity and costs.",Barriers to Entrepreneurship,"Business Legal and Accounting Volunteer Clinic: Pro bono clinics staffed by local lawyers and accountants offering packaged services: incorporation, contract templates, tax basics and employment law primers to reduce complexity and cost for new ventures.",Talent and Mobility System Misalignment,"1505 Barrington Street, Halifax, NS B3J 3K5",https://voltaeffect.com,info@voltaeffect.com,44.6445647,-63.5723991
Outdoor Movies in Civic Square,Downtown Truro Partnership,"Downtown Truro Partnership presents free outdoor movie nights in Civic Square using an inflatable screen and portable A/V, transforming the public plaza into a temporary cinema. These pop-up events often pair with live performances and activations, letting local artists test work and reach new audiences in a low-barrier, highly visible setting.",Arts and Culture Ecosystem Fragility,"Pop-up & Mobile Venue Program: Organize pop-up performances, galleries and movie nights in parks, storefronts and community centres using portable staging so artists can test work and reach new audiences quickly.",Talent and Mobility System Misalignment,"605 Prince Street, Truro, NS B2N 1G2",https://downtowntruro.ca,info@downtowntruro.ca,45.3654528,-63.2832201
Halifax Public Libraries After-School Programs,Halifax Public Libraries,"Halifax Public Libraries offers free, supervised after-school drop-ins, homework help, and STEAM clubs at branches across HRM, many extending into the early evening. Staff coordinate with nearby schools and community partners to provide a safe, consistent place for children and teens after classes, bridging the gap between school dismissal and parents’ shift end times. These programs complement school-based and municipal recreation offerings, forming a coordinated network of after-school and ...",Childcare Access and Affordability,"After-School and Extended-Hours Program Network: Coordinate school, recreation and community centre programs to provide seamless after-school and evening care options that support parents with nonstandard hours.",Talent and Mobility System Misalignment,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,askus@halifaxpubliclibraries.ca,44.6428872,-63.5752999
Tech Help (One-on-One and Drop-In),Halifax Public Libraries,"Halifax Public Libraries offers free one-on-one appointments and small-group workshops where staff and trained volunteers help patrons with computer and smartphone basics, email, video conferencing tools (e.g., Zoom), and cloud productivity apps. Sessions frequently support online job search and applications, resume uploading, and navigating government services such as Service Canada, CRA, and Nova Scotia online portals—directly addressing digital access barriers for residents across HRM.",Digital and Transportation Connectivity Gaps,"Digital Skills and Support Volunteers: Organize volunteer tutors to run free workshops and one‑on‑one sessions on basic digital literacy, remote work tools, online job search and navigating government services.",Talent and Mobility System Misalignment,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,,44.6428872,-63.5752999
Halifax Public Libraries – Free Community Rooms and Paul O’Regan Hall Bookings,Halifax Public Libraries,"Across its branches, Halifax Public Libraries provides free or low-cost meeting rooms, studios, and performance spaces—such as the Paul O’Regan Hall—bookable online by artists and community groups. By opening civic venues during off-peak hours for rehearsals, small performances, and exhibits, the library system functions as a shared-space network that reduces presentation costs and expands access for local creatives.",Arts and Culture Ecosystem Fragility,"Shared Venue & Timebank Network: A community-managed scheduling platform that lets venues, churches, schools and businesses share space and off-peak hours with performing and visual artists at low or barter-based cost.",Talent and Mobility System Misalignment,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,askus@halifaxpubliclibraries.ca,44.6428872,-63.5752999
Free Income Tax Clinics (CVITP) – Halifax Central Library,Halifax Public Libraries,"Halifax Public Libraries hosts free CVITP tax clinics each tax season, including at Halifax Central Library, where trained volunteers file simple tax returns and help patrons access federal and provincial benefits and credits. Filing returns ensures young adults receive refunds and income‑tested supports, improving cash flow. Library staff also connect clients with local emergency assistance programs when needed.",Cost of Living and Student Debt Burden,"Tax/Benefits Navigation and Emergency Income Smoothing: Offer local clinics and small crisis‑grant programs (via community foundations) to help young people access tax credits, benefits, and short‑term relief to avoid high‑cost debt.",Talent and Mobility System Misalignment,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,,44.6428872,-63.5752999
Matched Community Impact Campaigns,United Way Halifax,"United Way Halifax runs targeted, crowdfunding-style campaigns that pool small resident donations through their online giving pages and CanadaHelps project pages. Corporate and foundation partners frequently provide time-limited matching funds, doubling community contributions to priority initiatives focused on poverty reduction, youth opportunity, and equity for Black and Indigenous communities—mirroring a locally branded crowdfunding model that unlocks matching dollars for projects meeting ...",Barriers to Entrepreneurship,"Community Crowdfunding Platform with Matching: A locally branded crowdfunding portal that aggregates small contributions from residents, paired with matching funds from local government or foundations for projects that meet regional priorities and equity goals.",Talent and Mobility System Misalignment,"46 Portland Street, Dartmouth, NS B2Y 1H3",https://www.unitedwayhalifax.ca,info@unitedwayhalifax.ca,44.6649304,-63.5670951
Town of Wolfville Sidewalk Café and Parklet Program,Town of Wolfville,"Wolfville provides a seasonal permitting framework that relaxes standard right-of-way rules to allow temporary patios and parklets, enabling small and youth-owned businesses to pilot new offerings quickly. The town evaluates pilots on safety, accessibility, and community benefit, and uses results to refine policy—an applied regulatory sandbox that shortens approval timelines and supports local employment in hospitality and cultural sectors.",Fragmented Governance and Slow Execution,"Municipal Regulatory Sandbox Program: Launch a community-driven sandbox allowing pilot regulatory flexibility for innovative youth employment and business models on a time-limited basis, with clear evaluation criteria so successful models can be scaled without lengthy approvals.",Talent and Mobility System Misalignment,"359 Main Street, Wolfville, NS B4P 1A1",https://wolfville.ca,info@wolfville.ca,45.091537,-64.3591978
Short-Term Rental Accommodation Program (Licensing and Zoning Limits),Town of Lunenburg,"The Town of Lunenburg licenses short-term rentals and restricts whole-home STRs to specific zones and conditions, prioritizing primary residences and maintaining a local registry for compliance. By limiting commercial-style STRs in residential areas, the program protects the town’s long-term rental supply and neighbourhood character. Staff provide guidance to property owners on bringing units into compliance or transitioning them into longer-term leases aligned with local housing needs.",Housing Affordability and Supply Constraints,Local Short‑Term Rental Management and Regulation: Develop community-led regulations and registries for short‑term rentals to protect long‑term housing stock; offer pathways for hosts to convert to longer leases with incentives.,Talent and Mobility System Misalignment,"119 Cumberland Street, Lunenburg, NS B0J 2C0",https://www.townoflunenburg.ca,town@townoflunenburg.ca,44.37796,-64.3098233
Imagine Lunenburg: Comprehensive Community Plan Engagement,Town of Lunenburg,"Imagine Lunenburg is the Town’s community planning initiative that used public visioning, design charrettes, and mapping exercises to identify where and how to add housing through context-sensitive infill and higher-density forms. The community-derived design guidelines and policy directions inform the Town’s planning documents and bylaws, giving residents clear tools to support and advocate for zoning that increases housing supply while protecting Lunenburg’s character.",Housing Affordability and Supply Constraints,"Community Land Use Charrettes and Visioning: Host participatory planning workshops to identify acceptable density increases, infill sites, and design principles that residents support and can advocate for with municipal governments.",Talent and Mobility System Misalignment,"119 Cumberland Street, Lunenburg, NS B0J 2C0",https://www.townoflunenburg.ca,town@townoflunenburg.ca,44.37796,-64.3098233
Town of Lunenburg Temporary Outdoor Seating Policy,Town of Lunenburg,"Lunenburg’s policy enables time-limited permits for temporary outdoor seating in the public realm, easing typical right-of-way restrictions so businesses can test expanded service models during the season. This sandbox-style approach includes defined standards and review points, allowing successful pilots to inform lasting bylaw and process changes that support faster execution and local youth employment.",Fragmented Governance and Slow Execution,"Municipal Regulatory Sandbox Program: Launch a community-driven sandbox allowing pilot regulatory flexibility for innovative youth employment and business models on a time-limited basis, with clear evaluation criteria so successful models can be scaled without lengthy approvals.",Talent and Mobility System Misalignment,"119 Cumberland Street, Lunenburg, NS B0J 2C0",https://www.townoflunenburg.ca,town@townoflunenburg.ca,44.37796,-64.3098233
CBU Micro-credentials and Digital Badges,Cape Breton University,"Cape Breton University offers micro-credentials that award digital badges for short, skills-focused learning developed with local employers in sectors such as tourism, clean energy, and community health. Learners can stack badges into micro-certificates or apply them toward credit recognition in select programs, creating flexible pathways to credentials. The approach enables rapid upskilling and employer-aligned training that supports youth employment and retention across Cape Breton and rura...",Skills Mismatch and Training Alignment,"Stackable Micro-credentials and Badges: Partner local colleges and employers to offer short, industry-recognized modules and digital badges that stack toward certificates or credit, enabling faster alignment with evolving skills needs.",Talent and Mobility System Misalignment,"1250 Grand Lake Road, Sydney, NS B1M 1A2",https://www.cbu.ca,info@cbu.ca,46.147592,-60.144472
