Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
People & Culture Peer Group,Digital Nova Scotia,"Digital Nova Scotia convenes HR and People leaders from member tech companies in an ongoing peer group to exchange policies and templates for flexible work, including compressed workweeks, core-hours frameworks, and hybrid/remote arrangements. Through the peer group and its DigiPort resources, employers co-develop and implement mental‑health benefits and leave policies, helping reduce burnout and strengthen retention of young tech talent across Nova Scotia.",Healthcare and Mental Health Access,"Employer coalitions promoting flexible work and leave: Local businesses form coalitions to share best practices and jointly offer flexible schedules, compressed workweeks, and mental-health leave policies that reduce burnout and improve retention of young workers.",Negative Narrative and Perception Trap,"7071 Bayers Road, Suite 309, Halifax, NS B3L 2C2",,info@digitalnovascotia.com,44.6541222,-63.6273462
Community Wheels (East Hants Community Rider),Community Wheels,"Community Wheels is a non-profit community transit service providing pre-booked, wheelchair-accessible, door-to-door transportation throughout East Hants. Funded through a mix of fares, community fundraising, and government support, it removes transportation barriers for people with disabilities, enabling access to jobs, health care, and social activities in rural areas.","Inclusion, Racism, and Systemic Barriers","Accessibility Upgrades and Accessible Transit Initiatives: Mobilize community fundraising and municipal advocacy to improve physical accessibility in public spaces and increase affordable, accessible transit options so people with disabilities can fully participate in work and community life.",Negative Narrative and Perception Trap,"224 Highway 236, Kennetcook, NS B0N 1P0",,info@communitywheels.ca,45.1604916,-63.7416854
Dalhousie Rideshare (RideShark),Dalhousie University – Office of Sustainability,"Dalhousie’s rideshare platform matches students, staff, and their partners for carpools, reducing commuting time and cost while expanding access to job sites, classes, and childcare across HRM. By coordinating shared rides and offering commuter tools through the Office of Sustainability, the program removes transportation barriers that often deter young families from staying in the region.","Retention of Students, Graduates, and Newcomers","Community Childcare & Transit Solutions: Locally organized childcare co-ops, employer-subsidized spots and ride-share networks that remove practical barriers to employment for young families and partners.",Negative Narrative and Perception Trap,"6299 South Street, Halifax, NS B3H 4R2",,sustainability@dal.ca,44.6361402,-63.593144
The PIER Community Events & Demo Days,The PIER at the Halifax Seaport,"The PIER at the Halifax Seaport runs industry meetups, member demo days, and knowledge-sharing sessions focused on supply chain, logistics, and ocean innovation. By gathering startups, corporates, students, and remote workers in a living-lab environment, these events foster collaborations and make local career pathways more visible.",Brain Drain to Larger Markets and Remote Employers,"Local Networking & Industry Nights: Host regular sector-specific meetups, hackathons and demo nights that bring employers, students and remote workers together to build professional networks and visible career opportunities.",Negative Narrative and Perception Trap,"1209 Marginal Road, Halifax, NS B3H 4P8",,,44.6408016,-63.5661452
Equity & Access in the Arts Program,Arts Nova Scotia,"Arts Nova Scotia’s Equity & Access in the Arts provides small, flexible project grants to artists and collectives from communities facing barriers (including Indigenous, African Nova Scotian/Black, racialized, Deaf, disabled, and 2SLGBTQIA+ artists). It offers streamlined applications and quick turnaround funding that can cover materials, short-term venue rental, and promotion, directly aligning with a microgrant model that prioritizes underrepresented creators.","Support for Arts, Culture, and Creative Industries","Community Arts Microgrant Program: Create a locally administered microgrant fund (seeded by municipality, businesses, and donors) that awards small, quick-turnaround grants to individual artists, collectives, and pop-up projects to cover materials, short-term venue rental, or promotion. Prioritize youth-led and underrepresented creators and simplify application and reporting requirements.",Negative Narrative and Perception Trap,"1741 Brunswick Street, 3rd Floor, Halifax, NS B3J 3X8",,artsns@novascotia.ca,44.648618,-63.5859487
Emergency Response Team (ERT) – Nova Scotia,Canadian Red Cross – Atlantic Canada,"The Canadian Red Cross ERT program recruits and trains local volunteers across Nova Scotia in disaster response, including first aid, shelter/reception centre operations, logistics, and emergency social services. During floods, storms, and wildfires, ERT volunteers assist municipalities with sandbagging, evacuations, and incident coordination at community sites—accelerating on-the-ground response while strengthening neighbourhood ties through volunteer engagement and preparedness workshops.",Climate Risks and Coastal Vulnerability,"Community emergency response teams (CERT): Train local volunteers in search-and-rescue, first aid, sandbagging and incident coordination so neighbourhoods can respond faster during storms and wildfires while building social cohesion.",Negative Narrative and Perception Trap,"133 Troop Avenue, Dartmouth, NS B3B 2A7",,atlantic@redcross.ca,44.7099632,-63.5846921
Halifax Economic Growth Plan 2022–27,Halifax Partnership,"Halifax Partnership leads a five-year, community-driven plan for inclusive growth that sets measurable targets for talent attraction and retention (including youth and recent graduates), skills development, entrepreneurship, and quality-of-life improvements. The plan includes annual scorecards and check-in milestones with cross-sector partners (municipal, provincial, post-secondary, and industry) to extend planning beyond election cycles and maintain continuity across governments.",Governance Fragmentation and Coordination Silos,"Multi-Year Community Development Plans: Develop 3–5 year plans led by communities that set measurable goals for youth retention, skills development, and quality-of-life improvements; these plans include check-in milestones to extend planning horizons beyond election cycles and create continuity across governments.",Negative Narrative and Perception Trap,"1809 Barrington Street, Suite 1201, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Halifax Index (Interactive Economic and Community Dashboard),Halifax Partnership,"The Halifax Index is an annual, interactive dashboard that consolidates data on labour markets (including youth employment), population, business growth, housing and real estate, transportation, and quality of life. Produced by Halifax Partnership, it enables the public and decision-makers to track performance over time and benchmark Halifax against peer cities, with downloadable data and clear visualizations. By presenting comparable, citywide indicators in one place, it supports data-driven...",Governance Fragmentation and Coordination Silos,"Community Performance Dashboards: Publish simple, accessible dashboards tracking key local indicators (jobs for youth, housing availability, transit access, program take-up) so residents and officials can see progress, compare neighbourhoods, and make data-driven choices.",Negative Narrative and Perception Trap,"1809 Barrington Street, Suite 1201, Halifax, NS B3J 3K8",,info@halifaxpartnership.com,44.6489899,-63.5745798
Community Wheels,St. Margaret’s Bay Community Transportation Society,"Community Wheels is a volunteer-driven, door-to-door community transit service serving the rural St. Margaret’s Bay area. Riders can pre-book subsidized trips for medical, shopping, and social/recreational activities, including evening events, and drivers provide door-to-door assistance that functions as a safe escort for seniors and youth. By filling gaps in limited public transit after hours, it enables residents to attend community programming and reduces isolation in smaller communities.",Community Amenities and Vibrant Public Spaces,"Community transportation for evening events: Coordinate volunteer-run or subsidized shuttle services and safe-route escorts for teens and seniors to access evening programming, increasing attendance and reducing barriers created by limited transit in smaller towns.",Negative Narrative and Perception Trap,"5288 St. Margarets Bay Road, Upper Tantallon, NS B3Z 2H3",,info@communitywheels.ca,44.6903835,-63.8836032
Board Game Night & Makerspace Drop-ins (Kentville Public Library),Annapolis Valley Regional Library,"Kentville Public Library offers recurring Board Game Nights, craft circles, and maker-style drop-ins that invite families, teens, working adults, and older adults to create, play, and learn together. These intergenerational clubs and social evenings are free or low-cost and designed to be welcoming for all ages, building a reliable third-place routine in the town core. The hands-on, collaborative format supports casual mentorship and neighborly connections across generations.",Community Amenities and Vibrant Public Spaces,"Intergenerational clubs and regular social nights: Create recurring clubs (game nights, maker nights, storytelling, music) that intentionally mix youth, working-age adults and seniors to strengthen social ties and create reliable third-place routines.",Negative Narrative and Perception Trap,"95 Cornwallis Street, Kentville, NS B4N 2E5",,askus@valleylibrary.ca,45.0786913,-64.4942116
Port Days Community Open House and Tours,Halifax Port Authority,"During Port Days and related open-house programming, the Halifax Port Authority offers guided tours and public events that bring residents onto port properties to meet terminal operators, logistics firms, and marine service providers. By opening these workplaces and explaining operations firsthand, the port demystifies career paths and highlights the global opportunities and quality of life connected to Halifax’s working waterfront.",Public Perception and Regional Brand,"Neighbourhood Open Homes and Employer Tours: Host regular open-house events where residents tour workplaces, co-working spaces, maker spaces and sample neighborhoods to experience local workplaces and lifestyle firsthand, dismantling misconceptions through direct exposure.",Negative Narrative and Perception Trap,"1215 Marginal Road, Halifax, NS B3H 4P8",,info@portofhalifax.ca,44.6414556,-63.5664392
Farm Partners and Food Rescue,Feed Nova Scotia,"Feed Nova Scotia works directly with Nova Scotia farmers and producers to collect surplus and donated crops—including post-harvest and seasonal excess—and moves that fresh produce through a province-wide network of community food banks, meal programs, and shelters. By coordinating farm partnerships and food rescue (including field gleaning when possible), they increase access to healthy fruits and vegetables at neighborhood hubs and help households reduce grocery costs.",Cost of Living Pressures Beyond Housing,"Community Gardens, Gleaning Networks and Farm Partnerships: Neighbourhood gardens on municipal or church land, paired with gleaning programs that collect surplus from local farms and distribute it through community hubs, increasing access to fresh produce and reducing grocery bills.",Negative Narrative and Perception Trap,"67 Wright Avenue, Dartmouth, NS B3B 1H2",,info@feednovascotia.ca,44.7037091,-63.5997121
Advocacy,Feed Nova Scotia,"Feed Nova Scotia’s advocacy program compiles data and stories from people accessing food support across the province to highlight how food, transportation, and utility costs strain household budgets. Using this lived‑experience evidence, they engage municipal and provincial leaders to push for income‑based solutions—like living‑wage policies, stronger income assistance, and affordable access programs—that reduce cost‑of‑living pressures beyond housing.",Cost of Living Pressures Beyond Housing,"Advocacy Network for Local Cost-of-Living Policies: A community-led coalition that collects lived-experience data and advocates municipal/provincial leaders for targeted supports (transit passes, childcare subsidies, living-wage bylaws), amplifying community-driven policy wins.",Negative Narrative and Perception Trap,"67 Wright Avenue, Dartmouth, NS B3B 1H2",,info@feednovascotia.ca,44.7037091,-63.5997121
NSCC Community-Built Prefab/Tiny Home Projects,Nova Scotia Community College (NSCC),"Nova Scotia Community College engages carpentry, electrical, and related trades students in building modular or panelized small homes and tiny homes as applied learning projects with municipalities and non-profits across the province. These collaborations pilot fast, lower-cost prefabricated units that can be placed on community or institutional land as affordable or supportive rentals, adding supply while training local talent and supporting the regional construction workforce.",Housing Affordability and Availability,"Modular/Prefab Pilot Projects: Partner with local builders and trades training programs to pilot modular or prefabricated homes on community land or church lots — faster, cheaper rental units that also create local jobs.",Negative Narrative and Perception Trap,"5685 Leeds Street, Halifax, NS B3K 2T3",https://www.nscc.ca,info@nscc.ca,44.6695773,-63.6147024
Program Advisory Committees (PACs),Nova Scotia Community College (NSCC),"Nova Scotia Community College convenes Program Advisory Committees for nearly every program, bringing together local employers, faculty, high schools, and training partners to map current and emerging skill needs. These roundtables co-design and update curricula, identify equipment/technology requirements, and secure co-op and work-integrated learning placements; outcomes are documented and feed directly into program revisions so training aligns to regional labour market demand.",Skills Mismatch and Training Pathways,"Community Employer-Education Roundtables: Regular local roundtables where employers, high schools, community colleges, universities, and training providers map current and emerging skill needs, co-design curricula, and commit to concrete co-op/apprenticeship slots. The community organizes and documents outcomes so training aligns to local demand.",Negative Narrative and Perception Trap,"5685 Leeds Street, Halifax, NS B3K 2T3",https://www.nscc.ca,info@nscc.ca,44.6695773,-63.6147024
Recognition of Prior Learning (RPL),Nova Scotia Community College (NSCC),"NSCC runs ongoing RPL information sessions, portfolio workshops, challenge exams, and skills demonstrations that grant credit for informal and work-based learning. By converting prior experience into course credit and advanced standing recognized by local employers, NSCC shortens training time and speeds transitions into co-ops, apprenticeships, and jobs across Nova Scotia.",Skills Mismatch and Training Pathways,"Recognition of Prior Learning (RPL) Clinics: Community centers offering regular RPL workshops and assessment days to help young people and newcomers convert informal, volunteer, or on-the-job experience into recognized credentials that local employers accept.",Negative Narrative and Perception Trap,"5685 Leeds Street, Halifax, NS B3K 2T3",https://www.nscc.ca,rpl@nscc.ca,44.6695773,-63.6147024
NSCC Industry-Partnered Capstone and Applied Research Projects,Nova Scotia Community College (NSCC),"Nova Scotia Community College integrates employer-sponsored capstone and applied research projects into diploma and degree programs, where student teams deliver real solutions for local businesses and non-profits. These projects are assessed for academic credit and are scoped with industry partners, aligning curriculum with current labour market needs while giving learners tangible, portfolio-ready experience.",Skills Mismatch and Training Pathways,"School-Enterprise Project Partnerships: Programs where schools partner with local businesses and non-profits on real projects (product design, service delivery, community events) that count for credit and provide tangible experience employers value.",Negative Narrative and Perception Trap,"80 Mawiomi Place, Dartmouth, NS B2Y 0A5",https://www.nscc.ca,,44.6542147,-63.5509426
Financial Aid & Awards: Financial Literacy Workshops and Advising,Nova Scotia Community College (NSCC),"NSCC offers campus-based and virtual financial literacy sessions on budgeting, credit, responsible borrowing, and post-graduation loan repayment. Learners can access one-on-one advising to map out repayment timelines, apply for the Repayment Assistance Plan or grants/forgiveness where eligible, and consider consolidation or refinancing options to reduce long-term debt pressure.",Affordable Post-Secondary and Student Debt,"Financial Literacy, Debt Counseling and Repayment Clinics: Host regular community workshops and one-on-one clinics on budgeting, loan repayment strategies, refinancing, and accessing forgiveness programs to reduce long-term debt burdens.",Negative Narrative and Perception Trap,"80 Mawiomi Place, Dartmouth, NS B2Y 0A5",https://www.nscc.ca,awards@nscc.ca,44.6542147,-63.5509426
NSCC Open House and Trades & Technology Showcases,Nova Scotia Community College (NSCC),"Nova Scotia Community College hosts campus open houses and shop tours where instructors, apprentices, and employer partners present skilled trades, construction, and technology programs. Participants explore labs, hear alumni stories, and learn about wages, credentials, and apprenticeship pathways—functioning as local job showcases and employer-connected open-house events that elevate pride in trades careers.","Workforce Shortages in Care, Construction, and Skilled Trades","Local Career Awareness Campaigns: Run community storytelling, job showcases, and employer open-house events highlighting career paths, earnings, and pride in local trades, care work, and construction.",Negative Narrative and Perception Trap,"5685 Leeds Street, Halifax, NS B3K 2T3",https://www.nscc.ca,info@nscc.ca,44.6695773,-63.6147024
Mobile Innovation Lab,IGNITE Atlantic,"IGNITE’s Mobile Innovation Lab is a traveling makerspace that brings 3D printers, robotics kits, VR/AR gear, and prototyping tools to rural communities on a rotating schedule. The unit sets up pop-up labs in schools, community centres, and Indigenous communities to deliver hands-on tech and entrepreneurship workshops that align with local employer and industry needs.",Skills Mismatch and Training Pathways,"Mobile Training Units and Pop-up Labs for Rural Areas: Equipped trailers or temporary pop-up labs that bring hands-on trade, tech and green-skills training to small towns and Indigenous communities on a rotating schedule.",Negative Narrative and Perception Trap,"610 East River Road, Suite 150, New Glasgow, NS B2H 3S2",https://igniteatlantic.com,info@igniteatlantic.com,45.5782297,-62.6402597
Business Support & Digital Adoption Workshops,IGNITE Atlantic,"IGNITE Atlantic runs practical clinics, office hours, and workshops that guide local shops, trades and artists through standing up e-commerce sites, configuring digital payments and POS, and adopting online booking and collaboration tools. Their teams in Western and Northern Nova Scotia deliver tailored, step-by-step support—often in partnership with local stakeholders—to help rural entrepreneurs translate better broadband into online sales, remote client services, and streamlined digital wor...",Rural Broadband and Digital Infrastructure,"Local Business Digitalization and E‑commerce Clinics: Provide tailored support for local shops, trades and artists to establish online storefronts, digital payment systems and remote-client workflows so improved internet directly boosts local economic opportunities.",Negative Narrative and Perception Trap,"208 Main Street, Yarmouth, NS B5A 1C8",https://igniteatlantic.com,info@igniteatlantic.com,43.8319155,-66.1203833
Expert Office Hours and Clinics,IGNITE Atlantic,"IGNITE Atlantic hosts free expert office hours and themed clinics where local lawyers, accountants, and marketers volunteer their time to advise rural founders. Entrepreneurs receive hands‑on help with incorporation and contracts, bookkeeping setup and tax basics, and practical guidance for navigating government procurement and tendering processes.",Barriers to Entrepreneurship and Access to Capital,"Volunteer Professional Clinics: Local lawyers, accountants and marketers provide pro-bono clinics and office hours to help founders with incorporation, contracts, bookkeeping and tendering at no or low cost.",Negative Narrative and Perception Trap,"208 Main Street, Yarmouth, NS B5A 1C8",https://igniteatlantic.com,info@igniteatlantic.com,43.8319155,-66.1203833
Mentorship and Entrepreneur-in-Residence Program,IGNITE Atlantic,"IGNITE Atlantic operates rural innovation hubs that connect youth, students, and founders with local mentors, Entrepreneurs-in-Residence, and industry partners in Nova Scotia. Through office hours, workshops, and project-based collaborations, participants receive practical advice, introductions to employers, and pathways to placements with local companies. The program builds long-term relationships between emerging talent and community-based entrepreneurs, anchoring careers and startups in th...",Brain Drain to Larger Markets and Remote Employers,"Local Mentorship & Alumni Networks: Create community-run mentorship programs that connect young people with local alumni, tradespeople, entrepreneurs and professionals for career advice, internships, and long-term relationships that strengthen personal ties to the region.",Negative Narrative and Perception Trap,"352 East River Road, New Glasgow, NS B2H 3P7",https://igniteatlantic.com,info@igniteatlantic.com,45.5833401,-62.6448939
IGNITE Atlantic Startup Showcase & Community Pop-Ups,IGNITE Atlantic,"IGNITE Atlantic runs recurring showcases, pitch nights, and pop-up markets in rural communities where startups, student teams, and makers present products and prototypes to the public. Employers, mentors, and investors attend to network and recruit, turning innovation into a celebratory, community-facing experience that spotlights opportunity in Nova Scotia.",Public Perception and Regional Brand,"Community Festivals that Showcase Opportunity: Build festivals or pop-up markets focused on local innovation, trades, arts and food where young people can exhibit projects, entrepreneurs can pitch ideas and employers can recruit, making opportunity visible and celebratory.",Negative Narrative and Perception Trap,"352 East River Road, New Glasgow, NS B2H 3P7",https://igniteatlantic.com,info@igniteatlantic.com,45.5833401,-62.6448939
Youth Advisory Committee (YAC),Halifax Regional Municipality,"HRM’s Youth Advisory Committee engages young residents to provide recommendations to Regional Council on policies that affect them, including housing and planning matters. YAC members participate in consultations and hearings to champion faster approvals for gentle infill, affordability measures such as inclusionary policies, and incentives for small rental units—ensuring youth voices inform council decisions.",Housing Affordability and Availability,"Community Advocacy for Faster Approvals and Inclusionary Policies: Mobilize neighborhood associations, businesses and youth groups to advocate at council for faster permitting for modest infill, inclusionary zoning on new developments, and incentives for small-scale rental projects.",Negative Narrative and Perception Trap,"1841 Argyle Street, Halifax, NS B3J 3A3",https://www.halifax.ca,clerks@halifax.ca,44.648927,-63.5753248
Short-term Rental Regulations and Registration (HRM),Halifax Regional Municipality,"Halifax Regional Municipality requires short-term rental operators to register and complies with provincial tourist accommodation registration, while restricting entire-home short-term rentals to primary residences in most residential zones. This creates a transparent, local registry of units being used as short-term rentals and enables targeted enforcement to reduce commercial STRs, helping shift vacant or underused dwellings back into the long-term rental market.",Housing Affordability and Availability,Community Vacancy Registry and Vacancy Tax Advocacy: Collect local data on vacant units through a community registry and campaign for municipal vacancy taxes or incentives to bring units back into the rental market.,Negative Narrative and Perception Trap,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,contactus@halifax.ca,44.648927,-63.5753248
Municipal Access Agreements (MAA) and Utility Right‑of‑Way Permitting,Halifax Regional Municipality,"Halifax Regional Municipality administers Municipal Access Agreements and right‑of‑way permits that allow telecommunications providers to occupy municipal corridors and, where available, municipal duct banks. The standardized agreements coordinate with other utilities and city departments so multiple providers can share corridors, poles, and conduit routes with consistent technical and restoration requirements. By reducing duplication and clarifying access terms, the MAA framework supports co...",Rural Broadband and Digital Infrastructure,"Shared Infrastructure Agreements (Poles, Conduits and Towers): Coordinate municipalities, utilities and landowners to enable shared access to poles, conduits and tower sites. Community groups can broker or manage agreements so multiple providers can cost-effectively extend service into rural areas.",Negative Narrative and Perception Trap,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,,44.648927,-63.5753248
Backyard Suites (Accessory Dwelling Units) – Standardized Design and Permit Package,Halifax Regional Municipality,"HRM’s Backyard Suites program provides a standardized application package with typical drawings, siting rules, and design criteria that allow repeatable, code‑compliant ADU layouts to be reviewed and approved more quickly. By publishing consistent templates and accepted design parameters across the municipality, it operationalizes a pre‑approved approach that reduces friction for accessory units and accelerates permit turnaround for common designs.",Regulatory and Permitting Friction,"Pre‑Approved Local Design Library: Develop a set of common, pre‑approved designs for tiny homes, accessory units, renewable installations and small commercial fitouts that municipalities can endorse to speed approvals for repeatable projects.",Negative Narrative and Perception Trap,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,planning@halifax.ca,44.648927,-63.5753248
Halifax Housing Accelerator Fund – Fast-Track Development Approvals,Halifax Regional Municipality,"Under its Housing Accelerator Fund action plan, HRM is piloting faster, clearer approvals through measures like pre-approved designs (e.g., accessory/backyard suites), published checklists, digital permitting, and prioritized review lanes for affordable and modular projects. These steps reduce permitting friction, establish guaranteed timelines, and create a repeatable, low-risk pathway for multi-site housing pilots to scale.",Regulatory and Permitting Friction,"Local Fast‑Track Pilot Projects: Organize community-backed pilot projects (e.g., a cluster of modular homes or community solar) and negotiate a municipal fast‑track review and clear checklist to prove a repeatable, low‑risk approval path.",Negative Narrative and Perception Trap,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,planning@halifax.ca,44.648927,-63.5753248
Homelessness in the Halifax Region Data Dashboard,Halifax Regional Municipality,"HRM publishes regularly updated statistics on homelessness, including by-name list trends, shelter occupancy, and housing placements, using local, community-collected data through coordinated access and HIFIS. By making these metrics public, the dashboard functions as a community scorecard that drives transparency and accountability across municipal, provincial, and community partners working to improve equitable access to housing and services.","Inclusion, Racism, and Systemic Barriers","Data, Accountability and Community Dashboard: Collect disaggregated local data (voluntary and community governed) on employment, education, housing and service access; publish a regular public dashboard and community scorecard to track progress and hold institutions accountable.",Negative Narrative and Perception Trap,"1841 Argyle Street, Halifax, NS B3J 3A5",https://www.halifax.ca,contactus@halifax.ca,44.648927,-63.5753248
